title,tags
American Wedding,"comedi romanc handcuff sistersisterrelationship spanner blowjob stagnight wed high school distant memory, jim michel get marri -- hurry, sinc jim' grandmoth sick want see walk aisl -- prompt stifler throw ultim bachelor party. jim' dad reliabl ever, dole advic one want hear. jasonbigg alysonhannigan seannwilliamscott jessedylan"
Captain Phillips,"action drama thriller ship hijack somalia fisherman blood poverti pirat terror commando hijack cargoship shipcaptain shiphijack somali commandounit true stori captain richard phillip 2009 hijack somali pirat us-flag mv maersk alabama, first american cargo ship hijack two hundr years. tomhank catherinekeen maxmartini paulgreengrass"
Date Night,"comedi date corrupt taxi expensiverestaur wifehusbandrelationship gun boat taxidriv document restaur roof marriedcoupl politician stripper shoot thief carcrash steal mistakenident policecorrupt aftercreditssting duringcreditssting phil clair foster fear mild-mann relationship may fall stale rut. weekli date night, dinner reserv lead mistaken coupl thiev – number unsavouri charact want phil clair killed. tinafey stevecarel markwahlberg shawnlevi"
Casper,"fantasi comedi famili halloween friendship supernatur afterlif friend danger ghost disord younghero imaginari supernatural mischievouschildren furiou late father will gloomy-look mansion rather millions, carrigan crittenden readi burn place ground discov map treasur hidden house. enter ricketi mansion seek claim, frighten away wick wave ghosts. determin get hand hidden fortune, hire afterlif therapist dr. jame harvey exorcis ghost mansion. harvey daughter kat move in, soon kat meet casper, ghost young boy who' ""the friendliest ghost know."" friendli casper' uncles--stretch, fatso stinkie--who determin drive ""fleshies"" away. christinaricci billpullman cathymoriarti bradsilberl"
The Equalizer,"thriller action crime corrupt assassin hostag fbi hitman russian securitycamera sadism vigilant sociopath reveng suspens organizedcrim gore gangster violenc teenageprostitut commando interrog surveil exsoldi fakeddeath loner callgirl blackop handtohandcombat mysteriouspast equalizer, denzel washington play mccall, man believ put mysteri past behind dedic begin new, quiet life. mccall meet teri (chloë grace moretz), young girl control ultra-viol russian gangsters, can’t stand idli – help her. arm hidden skill allow serv vengeanc anyon would brutal helpless, mccall come self-impos retir find desir justic reawakened. someon problem, odd stack them, nowher els turn, mccall help. equalizer. denzelwashington martoncsoka chloëgracemoretz antoinefuqua"
Maid in Manhattan,"comedi drama romanc hotel politician mistakenident maid classdiffer singlemoth publicrel maiduniform hotelclerk wealthdiffer marisa ventura struggl singl mom work posh manhattan hotel dream better life young son. one fate day, hotel guest senatori candid christoph marshal meet marisa mistak wealthi socialite. enchant even together, two fall madli love. marisa' true ident revealed, issu class social statu threaten separ them. two peopl differ world overcom differ live happili ever after? jenniferlopez ralphfienn natasharichardson waynewang"
Crimson Tide,"action thriller drama submarin mutini russia missil nuclearmissil embassi u.s.navi battleforpow torpedo militari moraldilemma postcoldwar aircraftcarri chainofcommand launchcod sonar us nuclear missil sub, young first offic stage mutini prevent trigger happi captain launch missil confirm order so. denzelwashington genehackman mattcraven tonyscott"
The Pursuit of Happyness,"drama sanfrancisco singlepar homelessperson bu worker homeless work churchservic badluck biographi salesman stockbrok true stori christoph gardner, invest heavili devic known 'bone densiti scanner', find struggl sell product margin better current technology, much expensive. wife leav him, lose house, bank account credit card and, forc live street young son, he' desper find steadi job. take job stockbrok but, receiv pay, need go 6 month training, must sell devices. willsmith jadensmith thandienewton gabrielemuccino"
Flightplan,"thriller drama mysteri berlin lossoffath airplan baby-snatch claustrophobic, hitchcockian thriller. bereav woman daughter fli home berlin america. 30,000 feet child vanish nobodi admit ever plane. jodiefost petersarsgaard seanbean robertschwentk"
Disclosure,"drama thriller crime mysteri romanc employe workplac sexualharass intrigu comput specialist su sexual harass former lover turn boss initi act forcefully, threaten career person life. michaeldougla demimoor donaldsutherland barrylevinson"
City of Angels,"drama fantasi romanc suicid angel lifeanddeath desper oper heaven faith afterlif losangel interspeciesrom guardian angel seth -- invis watch citizen lo angel -- becom captiv maggie, strong-wil heart surgeon, ponder trade pure, otherworldli exist mortal life beloved. coupl embark tender forbidden romanc span heaven earth. nicolascag megryan andrebraugh bradsilberl"
Kill Bill: Vol. 1,"action crime japan coma martialart kungfu underworld yakuza sword bride reveng gore femaleyakuza blood wed samuraisword partanim assassin shot altar ruthless employer, bill member assassin circl – 'the bride' live plot vengeance. set payback, make death list hunt wrong her, save bill last. umathurman lucyliu vivicaa.fox quentintarantino"
Bowfinger,"comedi filmproduc filmdirector moviestudio hollywood filmmak movieactress verg bankruptci desper big break, aspir filmmak bobbi bowfing concoct crazi plan make ultim dream movie. ralli ragtag team includ starry-ey ingenue, has-been diva film studio gofer, set shoot blockbust featur biggest star hollywood, kit ramsey -- without let ramsey know he' picture. stevemartin eddiemurphi heathergraham frankoz"
Kill Bill: Vol. 2,"action crime thriller brotherbrotherrelationship swordplay katana motherrol rageandh daughter rightandjustic singl aftercreditssting duringcreditssting bride unwaveringli continu roar rampag reveng band assassin tri kill unborn child. visit former associ one-by-one, check victim death list five there' noth left … kill bill. umathurman davidcarradin darylhannah quentintarantino"
Tango & Cash,"action adventur comedi prison warondrug losangel ray tango gabriel cash narcot detect who, extrem successful, can't stand other. crime lord yve perret, furiou loss incom tango cash caus him, frame two murder. caught murder weapon scene crime, two alibi. thrown prison crimin help convict, appear go trust clear name catch evil perret. sylvesterstallon kurtrussel terihatch andreikonchalovski albertmagnoli"
Death Becomes Her,"fantasi comedi jealousi beauti immort rivalri potion drink madelin marri ernest, arch-riv helen' fiance. recov mental breakdown, helen vow kill madelin steal back ernest. unfortun everyone, introduct magic potion caus thing great deal complic mere murder plot. merylstreep brucewilli goldiehawn robertzemecki"
Shanghai Noon,"adventur action comedi western princess sioux travel rescu nativeamerican chines cowboy duringcreditssting 19thcenturi chon wang, clumsi imperi guard trail princess pei pei kidnap forbidden citi transport america. wang follow captor nevada, team unlik partner, outcast outlaw roy o'bannon, tri spring princess imprisonment. jackiechan owenwilson lucyliu tomdey"
Executive Decision,"action adventur drama thriller bomb ransom hostag airplan hijack terrorcel specialunit decept rescu covertoper disast shootout terror explos violenc surveil nightvisiongoggl flightattend intelligenceag flashback handtohandcombat nervega terrorist hijack 747 inbound washington d.c., demand releas imprison leader. intellig expert david grant (kurt russell) suspect anoth reason soon reluct member special assault team assign intercept plane hijackers. kurtrussel stevenseag halleberri stuartbaird"
Mr. Popper's Penguins,"comedi famili taxi restaur zoo penguin exhusband littleboy zookeep doorman ride birdhatch aftercreditssting duringcreditssting jim carrey star tom popper, success businessman who’ clueless come realli import thing life...until inherit six “adorable” penguins, uniqu personality. soon tom’ rambuncti roommat turn swank new york apart snowi winter wonderland — rest world upside-down. jimcarrey carlagugino madelinecarrol markwat"
The Forbidden Kingdom,"action adventur fantasi tempel shaolin teenag urin staff warrior monkeyk american teenag obsess hong kong cinema kung-fu classic make extraordinari discoveri chinatown pawnshop: legendari stick weapon chines sage warrior, monkey king. lost relic hand, teenag unexpectedli find travel back ancient china join crew warrior martial art lore danger quest free imprison monkey king. jackiechan jetli michaelangarano robminkoff"
Free Birds,"anim comedi famili holiday thanksgiv freedom duringcreditssting 3d irreverent, hilarious, adventur buddi comedi audienc ages, direct jimmi hayward (horton hear who!), two turkey opposit side track must put asid differ team travel back time chang cours histori - get turkey holiday menu good. owenwilson woodyharrelson amypoehl jimmyhayward"
Alien³,"sciencefict action horror prison android spacecraft spacemarin imprison spacecoloni spacetravel rottweil dystopia sequel alien redempt outerspac planet shavedhead crashland impregn penalcoloni furnac suspendedanim xenomorph escap newt hick alien planet, ripley crash land fiorina 161, prison planet host correct facility. unfortunately, although newt hick surviv crash, unwelcom visitor does. prison allow weapon kind, aid long time away, prison must simpli surviv way can. sigourneyweav charless.dutton charlesd davidfinch"
Evita,"histori drama music prostitut deific dancehallhostess perónism argentinepresid risetopow singingnarr soccerbal hit music base life evita duarte, b-movi argentinian actress eventu becam wife argentinian presid dictat juan perón, belov hate woman argentina. madonna antoniobandera jonathanpryc alanpark"
Ronin,"action thriller crime adventur pari franc armsdeal audi impostor case violenc icesk computerexpert exkgb prepar hitwithacardoor cellularphonetrac merrygoround briefcas undisclos content – sought irish terrorist russian mob – make way criminals' hands. irish liaison assembl squad mercenaries, 'ronin', give thorni task recov case. robertdeniro jeanreno nataschamcelhon johnfrankenheim"
The Ghost and the Darkness,"adventur africa lion bridg basedontruestori kenya animalattack lionattack coloni swahili sir robert beaumont behind schedul railroad africa. enlist note engin john henri patterson right ship, beaumont expect results. everyth seem great crew discov mutil corps project' foreman, seemingli kill lion. sever attacks, patterson call fame hunter charl remington, final met match bloodthirsti lions. michaeldougla valkilm tomwilkinson stephenhopkin"
Paddington,"famili comedi england trainstat basedonnovel bear anthropomorph talkingtoanim children'sbook young peruvian bear passion thing british travel london search home. find lost alon paddington station, begin realiz citi life imagin - meet kindli brown family, read label around neck ('pleas look bear. thank you.') offer temporari haven. look though luck chang rarest bear catch eye museum taxidermist... nicolekidman petercapaldi benwhishaw paulk"
The Watch,"comedi usa steril castrat marriag friendship alien suburb alieninvas death teenagedaught neighborhoodwatch creepyneighbor four everyday suburban guy come togeth excus escap humdrum live one night week. accident discov town becom overrun alien pose ordinari suburbanites, choic save neighborhood - world - total extermination. benstil vincevaughn jonahhil akivaschaff"
The Hunted,"drama action thriller crime hunter fbi knife balkanwar wood psychopathickil slaughter survivalist maniac specialforc killingspre combat exsoldi darkpast manhunt goryviol wilder british columbia, two hunter track vicious murder aaron hallum. former special oper instructor, l.t. bonham approach ask apprehend hallum, former student, 'gone rogue' suffer sever battl stress time kosovo. tommyleejon beniciodeltoro connienielsen williamfriedkin"
Instinct,"drama mysteri thriller prison gorilla research instinct murder psychologist dr. ethan powell, anthropologist, africa studi ape lost two years. found, kill 3 men put 2 hospital. cuba gooding' charact psychiatrist want take task tri get dr. powel speak mayb even stand judgment trial releas prison mental cases. along way, cuba deal also help mental patient abus neglected. process cuba learn thing life, anthoni hopkin character, dr. powell. anthonyhopkin cubagoodingjr. donaldsutherland jonturteltaub"
Stuck on You,"comedi sex dancer martialart cook stripper love bulli hollywood twin flashback freak actor anxieti conjoin siames martha' vineyard, mass., conjoin twin walt (greg kinnear) bob tenor (matt damon) make best handicap fastest grill cook town. outgo walt hope one day becom famou actor, shi bob prefer stay spotlight. fade hollywood actress, cher (cher), decid get show ""honey beaze"" cancelled, hire walt -- brotherli appendag -- costars. addit surprisingli achiev opposite. mattdamon gregkinnear evamend bobbyfarrelli peterfarrelli"
Semi-Pro,"comedi sport basketbal flintmichigan nba merger trade garbagecan canon ramp championship deadpar jacki moon owner, promoter, coach, star player flint michigan tropic american basketbal associ (aba). 1976 aba collapses, nation basketbal associ (nba) plan merg best team aba end season. top four team make move worst team fold. tropic worst team leagu want make nba, jacki moon must ralli team start winning. problem fact jacki moon realli coach star basketbal player think is. keep team oblivion leav mark city, jacki moon must inspir team win fourth place playoffs. willferrel mauratierney woodyharrelson kentalterman"
The Pirates! In an Adventure with Scientists!,"anim adventur famili comedi rivalri stopmot pirat aftercreditssting duringcreditssting luxuriantli beard pirat captain boundlessli enthusiastic, somewhat less-than-successful, terror high seas. rag-tag crew side, seemingli blind imposs odd stack him, captain one dream: beat bitter rival black bellami cutlass liz much covet pirat year award. it’ quest take hero shore exot blood island foggi street victorian london. along way battl diabol queen team haplessli smitten young scientist, never lose sight pirat love best: adventure! hughgrant brendangleeson jeremypiven peterlord jeffnewitt"
Changeling,"crime drama mysteri corrupt mother nuditi minist power public govern polic reunion murder conspiraci losangel miss motherlov critic christin collin overjoy kidnap son brought back home. christin suspect boy return child, polic captain commit asylum. angelinajoli jeffreydonovan johnmalkovich clinteastwood"
Chain Reaction,action drama sciencefict thriller fbi hydrogenbomb secretlab energysuppli conspiraci aftercreditssting two research green altern energi project put run frame murder treason. keanureev morganfreeman rachelweisz andrewdavi
The Fan,"drama mysteri thriller sport luck sanfranciscogi childcustodi baseballpitch baseballfan psychoticfan sportsag drivingrang steamroom san francisco giant pay centerfield bobbi rayburn $40 million lead team world series, one happier support #1 fan gil renard. rayburn becom mire worst slump career, obsess renard decid stop noth help idol regain former glory... even murder. robertdeniro wesleysnip ellenbarkin tonyscott"
The Phantom of the Opera,"thriller drama romanc danc obsess auction wheelchair rose productplac music remak tragicvillain blackandwhit rooftop heroin disfiguredfac basedonstagemus theater disfigurementmask breakingmirror operasing 1910 deform sinc birth, bitter man known phantom live sewer underneath pari opera house. fall love obscur choru singer christine, privat tutor terror rest opera hous demand christin given lead roles. thing get wors christin meet back childhood acquaint raoul two fall love gerardbutl emmyrossum patrickwilson joelschumach"
Elizabeth: The Golden Age,"drama histori romanc england assassin spain virgin coloni govern queenelizabethi religiouswar tudor execut middleag catholic seabattl palaceintrigu queen elizabeth' reign threaten ruthless famili betray spain' invad army, shrewd advis must act safeguard live people. cateblanchett cliveowen geoffreyrush shekharkapur"
Æon Flux,"action sciencefict martialart dystopia surreal basedoncartoon shootout espionag infertil cyberpunk extremeviol sabotag oneagainstmani womandirector handtohandcombat actionheroin humanclon 25thcenturi 400 year future, diseas wipe major world' population, except one wall city, bregna, rule congress scientists. æon flux, top oper underground 'monican' rebellion, sent mission kill govern leader, uncov world secrets. charlizetheron martoncsoka jonnyleemil karynkusama"
Gods and Generals,"drama histori war war battl unionsoldi confederatesoldi americancivilwar secess film center mostli around person profession life thoma ""stonewall"" jackson, brilliant eccentr confeder general, outbreak american civil war halfway point jackson kill accident soldier may 1863 greatest victory. stephenlang jeffdaniel robertduval ronaldf.maxwel"
Turbulence,"action thriller crime stewardess airplan shootout airmarsh christma turbul flight transport danger convicts, murder ryan weaver manag break free caus complet chao throughout plane. variou peopl board fall victim weaver, ultim flight attend teri halloran keep aircraft crashing, on-ground support air traffic controller. halloran struggl pilot plane, weaver continu terror surviv member crew. rayliotta laurenholli brendangleeson robertbutl"
Imagine That,"comedi financi execut can't stop career downspir invit daughter' imaginari world, solut problem await. eddiemurphi thomashadenchurch yarashahidi kareykirkpatrick"
Muppets Most Wanted,"comedi adventur crime famili music themuppet grand world tour, muppet find wrap european jewel-heist caper head kermit frog look-alik dastardli sidekick. rickygervai tyburrel tinafey jamesbobin"
Thunderbirds,"action adventur comedi famili fantasi sciencefict secretorgan basedontvseri goldengatebridg locker oilrig teenagehero soakedcloth thunderbird danger mission bread butter thunderbirds, high-tech secret forc employ government. led jeff traci (bill paxton), thunderbird top game, nemesis, hood (ben kingsley), land island attempt coup use team' rescu vehicles. he'll soon discov thunderbird go down. bradycorbet sorenfulton deboraweston jonathanfrak"
Burlesque,"drama romanc music losangel burlesqu burlesquedanc burlesqu loung best day behind it. tess, retir dancer owner venue, struggl keep age theater alive, face kind financi artist challenges. lounge' troup member becom increasingli distract person problem threat come wealthi businessman' quest buy spot tess, good fortun seem abandon club altogether. meanwhile, life ali, small-town girl iowa, chang dramatically. hire tess waitress lounge, ali escap hollow past quickli fall love art burlesque. back newfound friend amongst theater' crew, manag fulfil dream stage herself. thing take dramat turn though ali' big voic make becom main attract revu cher christinaaguilera ericdan steveantin"
A Very Long Engagement,"drama pari prostitut lossoflov amnesia bodilydisabledperson worldwari wheelchair brittani lighthous verdun lighthousekeep teenagecrush disappear soldier illegalprostitut privatedetect missingperson polio trench 1919, mathild 19 year old. two year earlier, fiancé manech left front somme. like million other ""kill field battle."" written black white offici notice. mathild refus believ it. manech died, would know. hang intuit tightli would onto last thread hope link lover. former sergeant tell vain manech die man' land trench name bingo crepescule, compani four men condemn die self-inflict wounds. path ahead full obstacl mathild frightened. anyth possibl someon will challeng fate... audreytaut gaspardulliel dominiquepinon jean-pierrejeunet"
Lolita,"drama romanc sexualobsess hotel depress lossofmoth smalltown flirt midlifecrisi erotic youngster lolita motel diari seduct forbiddenlov professorforliteratur provoc fascin one-sidedlov widow adoptivefath lossofhusband summercamp secretlov humbert humbert middle-ag british novelist appal attract vulgar american culture. come stay board hous run charlott haze, soon becom obsess lolita, woman' teenag daughter. jamesmason suelyon shelleywint stanleykubrick"
D-Tox,action thriller alcohol serialkil hospit policeoffic detox disgrac fbi agent drink problem join nine troubl law enforc offic isol detox clinic wild wyoming. therapeut sanctuari becom nightmarish hellhol major snowstorm cut clinic outsid world enabl killer insid get busy. sylvesterstallon courtneyb.v tombereng jimgillespi
Blade II,"fantasi horror action thriller katana mutat vampir silver superhero tragicvillain brokenneck lasersight violenc explodingbodi blade subjectivecamera torsocutinhalf reaper brokenwrist razorblad shotthroughadoor swordduel burntfac rare mutat occur within vampir commun - reaper. vampir consum insati bloodlust prey vampir well humans, transform victim unlucki enough surviv reaper themselves. blade ask vampir nation help prevent nightmar plagu would wipe human vampires. wesleysnip kriskristofferson ronperlman guillermodeltoro"
Seven Pounds,drama vegetarian taxcollector pianist blind organtranspl bloodtyp ir agent fate secret embark extraordinari journey redempt forev chang live seven strangers. willsmith rosariodawson sarahjanemorri gabrielemuccino
Bullet to the Head,"action crime thriller watch respect partner die, cop hitman form allianc order bring common enemy. sylvesterstallon sungkang sarahshahi walterhil"
The Godfather: Part III,"crime drama thriller itali christian newyork assassin italo-american vatican pope confess helicopt daughter lawyer midst tri legitim busi deal 1979 new york italy, age mafia don, michael corleon seek forgiv sin take young proteg wing. alpacino dianekeaton andygarcía francisfordcoppola"
Elizabethtown,"comedi drama romanc suicid hotelroom suicideattempt newlov funer airplan lover fallinginlov drew baylor fire caus shoe compani lose hundr million dollars. make matter worse, he' also dump girlfriend. verg end all, drew get new leas life return family' small kentucki hometown father dies. along way, meet flight attend fall love. orlandobloom kirstendunst susansarandon cameroncrow"
"You, Me and Dupree","comedi romanc roommat loveofone'slif newlyw stand best man longtim friend carl petersen, randi dupre lose job, becom barfli attach newlyw coupl almost perman -- houseguest. longer dupre camp couch, closer get carl' bride, molly, leav frustrat groom wonder pal move out. katehudson owenwilson mattdillon anthonyrusso joerusso"
Superman II,"action adventur fantasi sciencefict savingtheworld dccomic sequel superhero basedoncomicbook lossofvirgin crimin superpow phantomzon rocketfiredgrenad crystalmachin superhumanstrength duringcreditssting three escap crimin planet krypton test man steel' mettle. led gen. zod, kryptonian take control white hous partner lex luthor destroy superman rule world. superman, attempt make human order get closer lois, realiz respons save planet. genehackman christopherreev nedbeatti richardlest"
Gigli,"drama newyork mentallydis kidnap blackmail missionofmurd lover lesbian mobster gigli order kidnap psycholog challeng younger brother power feder prosecutor. plan go awry, gigli' boss send ricki, gorgeou free-spirit femal gangster set order assist kidnapping. gigli begin fall decidedli unavail ricki, could hazard occupation. benaffleck jenniferlopez justinbartha martinbrest"
All the King's Men,drama thriller corrupt journalist basedonnovel blackmail manipul bodyguard louisiana scandal power governor polit tragedi mistress aristocrat stori idealist' rise power world louisiana polit corrupt lead ultim downfall. base the1946 pulitz prize-win novel written robert penn warren. seanpenn judelaw katewinslet stevenzaillian
Anastasia,"anim famili tzar music russianrevolut trainexplos foreignlanguageadapt explodingtrain anim adventur retel stori lost daughter russia' last czar. evil rasputin place curs romanov family, anastasia grandmother, empress maria, get separated. grow orphanage, anastasia encount two russian men seek reward offer empress maria return granddaughter. trio travel paris, find empress grown skeptic imposters. megryan johncusack christopherlloyd garygoldman donbluth"
Moulin Rouge!,"drama music romanc duke music writer'sblock music terminalil writer noopeningcredit moulinroug bohemian toulouselautrec redcurtain cancand latraviata orpheusandeurydic dancehal celebr love creativ inspir take place infamous, gaudi glamor parisian nightclub, cusp 20th century. young poet, plung headi world moulin rouge, begin passion affair club' notori beauti star. nicolekidman ewanmcgregor johnleguizamo bazluhrmann"
Domestic Disturbance,mysteri thriller crime menac adopt danger adoptivefath threattodeath stepfath murder divorc ex-wif child murderhunt divorc father discov 12-year-old son' new stepfath made be. johntravolta vincevaughn teripolo haroldbeck
Black Mass,"crime drama boston basedontruestori organizedcrim true stori whitey bulger, brother state senat infam violent crimin histori south boston, becam fbi inform take mafia famili invad turf. johnnydepp joeledgerton benedictcumberbatch scottcoop"
Flags of Our Fathers,"war drama histori worldwarii dyinganddeath pacif iwojima aftercreditssting duringcreditssting five marin one navi corpsman photograph rais u.s. flag mt. suribachi joe rosenth februari 23, 1945. stori three six surviv servicemen – john 'doc' bradley, pvt. rene gagnon pvt. ira hayes, fought battl take iwo jima japanese. ryanphillipp adambeach jessebradford clinteastwood"
Law Abiding Citizen,drama crime thriller tattoo secretpassag baseballbat deal explos justic districtattorney courtroom vigilant frustrat man decid take justic hand plea bargain set one family' killer free. target killer also district attorney other involv deal. jamiefoxx gerardbutl colmmeaney f.garygray
Grindhouse,thriller action horror exploit slasher zombi killer two full length featur horror movi written quentin tarantino robert rodriguez put togeth two film feature. includ fake movi trailer movies. kurtrussel zoëbel rosariodawson robertrodriguez quentintarantino edgarwright eliroth robzombi jasoneisen
Beloved,"drama thriller paul d. find old slave friend seth ohio move daughter denver, strang girl come along name ""beloved"". seth denver take strang thing start happen... oprahwinfrey dannyglov thandienewton jonathandemm"
Lucky You,drama romanc poker sport lasvega profession poker player whose astound luck tabl fail translat lonesom love life attempt win world seri poker simultan earn affect beauti la vega singer. ericbana drewbarrymor robertduval curtishanson
Catch Me If You Can,"drama crime conman biographi fbiagent overheadcamerashot attemptedjailbreak engagementparti mislaidtrust bankfraud inspiredbyatruestori true stori frank abagnal jr. who, 19th birthday, success con million dollar worth check pan pilot, doctor, legal prosecutor. fbi agent make mission put behind bars. frank elud capture, revel pursuit. leonardodicaprio tomhank christopherwalken stevenspielberg"
Zero Dark Thirty,"thriller drama histori assassin cia hotel terrorist prison cardeal mossad van iraq pakistan osamabinladen manhunt navys fword femaleprotagonist gunfight raid violenc textmessag monkey dog specialforc tiedup militari area51 terroristgroup tortur womandirector alqaeda prisoncamp watertortur suicidebomb 21stcenturi exspecialforc post9/11 helicoptercrash islamabad chronicl decade-long hunt al-qaeda terrorist leader osama bin laden septemb 2001 attacks, death hand navi s.e.a.l. team 6 may, 2011. jessicachastain jasonclark markstrong kathrynbigelow"
The Break-Up,"romanc comedi bowl chicago americanfootbal flat basebal newlov tourguid break-up artgalleri argument pooltabl watchingtv ex-boyfriendex-girlfriendrelationship dinnerparti condominium cohabit coupl gari brook find once-bliss romanc rock petti spat lemon dirti dish mushroom all-out battl custodi upscal chicago condo. escal argument ensu gari brook continu live roof, cook scheme drive premises. vincevaughn jenniferaniston joeylaurenadam peytonre"
Mamma Mia!,"comedi romanc singlepar greec music daughter singl motherdaughterrelationship duringcreditssting womandirector set idyl greek island, plot serv background wealth abba hit songs. donna, independent, singl mother own small hotel island let go sophie, spirit young daughter rais alone. sophi secretli invit three mother' ex-lov hope find father. merylstreep piercebrosnan amandaseyfri phyllidalloyd"
Valentine's Day,"comedi romanc flower marriedcoupl florist kiss singl valentin valentine'sday multiplestorylin aftercreditssting duringcreditssting dozen angeleno navig valentine' day earli morn midnight. three coupl awak together, relationship sputter; worth saving? grade-school boy want flower first true love; two high school senior plan first-tim sex noon; tv sport report get assign find romanc la; star quarterback contempl future; two stranger meet plane; grandparents, togeth years, face crisis; and, ""i hate valentine' day"" dinner beckon lone lie to. cupid finish work midnight? jessicaalba jessicabiel bradleycoop garrymarshal"
The Dukes of Hazzard,"action adventur comedi sheriff farm bikini redneck moonshin cousins, bo luke duke, help eye-catch cousin, daisi moonshine-run uncl jesse, tri save famili farm destroy hazzard county' corrupt commissioner, boss hogg. effort constantli find 'duke boys' elud author 'the gener lee', 1969 orang dodg charger keep one step ahead dimwit antic small southern town' sheriff, rosco p. coltrane. johnnyknoxvil seannwilliamscott jessicasimpson jaychandrasekhar"
The Thin Red Line,"drama histori war basedonnovel japanes worldwarii battleassign invas marinecorp u.s.armi command pacif rifl surviv jungl infantri steelhelmet sergeant pacificisland soldier battl fight guadalcan awol philosophicconflict base graphic novel jame jones, thin red line tell stori group men, armi rifl compani call c-for-charlie, change, suffer, ultim make essenti discoveri fierc world war ii battl guadalcanal. follow journey, surpris unoppos landing, bloodi exhaust battl follow, ultim departur survived. power frontlin cast - includ sean penn, nick nolte, woodi harrelson georg clooney - explod action hauntingli realist view militari moral chao pacif world war ii. seanpenn adrienbrodi jimcaviezel terrencemalick"
The Change-Up,"comedi jealousi chanc wish chang manchang co-work body-swap dave marri man two kid love wife , mitch singl man prime sexual life. one fate night mitch dave pee fountain lightn strikes, switch bodies. oliviawild ryanreynold jasonbateman daviddobkin"
Man on the Moon,"comedi drama romanc showbusi comedian wrestl film life career eccentr avant-gard comedian, andi kaufman. jimcarrey courtneylov bobzmuda milošforman"
Casino,drama crime poker drugabus 1970 overdos illegalprostitut life gambl paradis – la vega – dark mafia underbelly. robertdeniro sharonston joepesci martinscorses
From Paris with Love,"action crime thriller pari cia undercov explos pimp ambassador antihero revel french politician firearm decept carcrash gang jame rees good job ambassador' aid france, real passion side gig, work minor role cia. would love full-fledg agent can't believ luck land assign charli wax. trigger-happi charli soon jame cri desk job, learn guy they'r tri catch him, jame realiz charli may hope survival. johntravolta jonathanrhysmey kasiasmutniak pierremorel"
Bulletproof Monk,"action comedi fantasi monk homelessperson inject fall knifefight scroll theforc mysteri immort tibetan kung fu master, spent last 60 year travel around world protect ancient scroll ultimate, mentor selfish street kid ancient intricaci kung fu. seannwilliamscott jaimek karelroden paulhunt"
"Me, Myself & Irene","comedi schizophrenia ex-cop aftercreditssting duringcreditssting rhode island state trooper charli baileyg multipl person disorder. one person crazi aggressive, friendli laid back. person fall love woman name iren charli lose medication. jimcarrey renéezellweg anthonyanderson bobbyfarrelli peterfarrelli"
Barnyard,"anim comedi famili peasant farm cow cojot famili thing get crazi farm, boister bovin name oti (voic kevin james) save day computer-anim tale. anim barnyard sing, danc party, otis' stern dad (sam elliott) warn crew keep cool around humans. troublemak oti rare listen pop, farmer disappear anim go nutty, young cow realiz must stop madness. courteneycox kevinjam samelliott steveoedekerk"
Deck the Halls,comedi famili holiday massachusett neighbor christma two neighbor one decor hous holiday brightli seen space. dannydevito matthewbroderick kristindavi johnwhitesel
The Twilight Saga: New Moon,"adventur fantasi drama romanc moon cinema vampir werewolf fangvamp forks, washington resid bella swan reel departur vampir love, edward cullen, find comfort friendship jacob black, werewolf. know it, thrust centuries-old conflict, desir edward cost lead take greater greater risks. kristenstewart robertpattinson taylorlautn chrisweitz"
Shrek,"adventur anim comedi famili fantasi magic liber lordship castl robinhood enchant fairy-talefigur princess parodi womandirector ogr ain't easi bein' green -- especi likabl (albeit smelly) ogr name shrek. mission retriev gorgeou princess clutch fire-breath dragon, shrek team unlik compatriot -- wisecrack donkey. mikemy eddiemurphi camerondiaz andrewadamson vickyjenson"
The Adjustment Bureau,"sciencefict thriller romanc hotel dancer hat senat futur honesti plan kiss speech marriag politician alon fate footchas covertag courthous politicalcampaign basedonshortstori man glimps futur fate plan – choos fight destiny. battl power adjust bureau across, street new york, risk destin great woman he' ever loved. mattdamon emilyblunt johnslatteri georgenolfi"
Robin Hood: Prince of Thieves,"adventur england crusad merci robinhood folkhero dastardli sheriff nottingham murder robin' father, legendari archer vow vengeance. accomplish mission, robin join forc band exil villag (and come maid marian), togeth battl end evil sheriff' reign terror. kevincostn morganfreeman christianslat kevinreynold"
Jerry Maguire,"comedi drama romanc stadium career sport sportsag jerri maguir use typic sport agent: will anyth could get biggest possibl contract clients, plu nice commiss himself. then, one day, suddenli second thought he' realli doing. voic doubts, end lose job clients, save rod tidwell, egomaniac footbal player. tomcruis cubagoodingjr. renéezellweg cameroncrow"
Ted,"comedi fantasi friendship love teddybear toycomestolif wishescometru john bennett, man whose childhood wish bring teddi bear life came true, must decid keep relationship bear girlfriend, lori. markwahlberg milakuni sethmacfarlan sethmacfarlan"
As Good as It Gets,"comedi romanc singlepar waitress lonewolf friendship neighbor author cowardli writer dog rude obnoxi unlikelyfriendship noodlesalad new york city. melvin udall, cranky, bigoted, obsessive-compuls writer, find life turn upsid neighbor gay artist simon hospit dog entrust melvin. addition, carol, waitress toler him, must leav work care sick son, make imposs melvin eat breakfast. jacknicholson helenhunt gregkinnear jamesl.brook"
